600,Other en route navaid,64,,,
601,(general),65,,,
602,ASR,65,,,
603,Approach lighting,65,,,
604,Localizer,65,,,
605,Glideslope,65,,,
606,LDA,65,,,
607,Marker beacon,65,,,
608,NDB,65,,,
609,PAR,65,,,
610,SDF,65,,,
611,VOR/TVOR,65,,,
612,GPS,65,,,
613,GPS WAAS,65,,,
614,Visual approach aid,65,,,
615,(general),66,,,
616,Meteo equip coverage/avail,66,,,
617,FSS weather,66,,,
618,NWS weather,66,,,
619,Commercial weather,66,,,
620,Automated weather,66,,,
621,Other weather service,66,,,
622,(general),67,,,
623,Airway/route system procedure,67,,,
624,Approach control procedure,67,,,
625,ATC clearance procedure,67,,,
626,Departure procedure,67,,,
627,Holding procedure,67,,,
628,Instrument approach procedure,67,,,
629,Instrument departure procedure,67,,,
630,Missed approach procedure,67,,,
631,Terminal arrival procedure,67,,,
632,Traffic pattern procedure,67,,,
633,Visual approach procedure,67,,,
634,Noise abatement procedure,67,,,
635,Traffic congestion,67,,,
636,(general),68,,,
637,Surface/taxi,68,,,
638,Approach/departure,68,,,
639,En route,68,,,
640,Weather radar,68,,,
641,(general),69,,,
642,VHF/HF radio,69,,,
643,Transponder,69,,,
644,Datalink,69,,,
645,Written communication,69,,,
646,Visual communication,69,,,
647,(general),70,,,
648,Airport lighting,70,,,
649,Runway lighting,70,,,
650,Taxiway lighting,70,,,
651,Obstruction markings/lighting,70,,,
652,Runway markings/signage,70,,,
653,Runway/landing area condition,70,,,
654,Runway/landing area length,70,,,
655,Taxiway markings/signage,70,,,
656,Taxiway condition,70,,,
657,Airport communication,70,,,
658,Ramp facilities,70,,,
659,Emergency/fire/rescue services,70,,,
660,Fuel service/equipment,70,,,
661,Ground support/equipment,70,,,
662,Snow removal service/equipment,70,,,
663,Security,70,,,
664,(general),71,,,
665,(general),72,,,
666,Mountainous/hilly terrain,72,,,
667,Rough terrain,72,,,
668,Sloped/uneven,72,,,
669,Water,72,,,
670,High elevation,72,,,
671,Snowy/icy,72,,,
672,Wet/muddy,72,,,
673,(general),73,,,
674,Pole,73,,,
675,Runway/taxi/approach light,73,,,
676,Sign/marker,73,,,
677,Tower/antenna (incl guy wires),73,,,
678,Tree(s),73,,,
679,Residence/building,73,,,
680,Ground vehicle,73,,,
681,Wall/barricade,73,,,
682,Wind sock,73,,,
683,Wire,73,,,
684,Person,73,,,
685,Bridge/overpass,73,,,
686,Aircraft,73,,,
687,Airport structure,73,,,
688,Animal(s)/bird(s),73,,,
689,Fence/fence post,73,,,
690,Ground equipment,73,,,
691,Hidden/submerged object,73,,,
692,Debris/dirt/foreign object,73,,,
693,Water/moisture,73,,,
694,Snow/ice,73,,,
695,(general),74,,,
696,Wet,74,,,
697,Snow/slush/ice covered,74,,,
698,Soft,74,,,
699,Glassy,74,,,
700,Choppy,74,,,
701,(general),75,,,
702,(general),76,,,
703,Low temperature,76,,,
704,High temperature,76,,,
705,High density altitude,76,,,
706,Conducive to structural icing,76,,,
707,Conducive to carburetor icing,76,,,
708,Temperature inversion,76,,,
709,Thermal lifting,76,,,
710,(general),77,,,
711,Terrain induced turbulence,77,,,
712,Clear air turbulence,77,,,
713,Convective turbulence,77,,,
714,Wake turbulence,77,,,
715,(general),78,,,
716,Thunderstorm,78,,,
717,Tornado,78,,,
718,Hurricane,78,,,
719,Lightning,78,,,
720,Hail,78,,,
721,(general),79,,,
722,Sudden wind shift,79,,,
723,Tailwind,79,,,
724,Windshear,79,,,
725,Variable wind,79,,,
726,Updraft,79,,,
727,Downdraft,79,,,
728,Crosswind,79,,,
729,Gusts,79,,,
730,Microburst,79,,,
731,High wind,79,,,
732,Dust devil/whirlwind,79,,,
733,(general),80,,,
734,Low ceiling,80,,,
735,Low visibility,80,,,
736,Haze/smoke,80,,,
737,Clouds,80,,,
738,Obscuration,80,,,
739,Rain,80,,,
740,Freezing rain/sleet,80,,,
741,Snow,80,,,
742,Drizzle/mist,80,,,
743,Fog,80,,,
744,Whiteout,80,,,
745,Sand/dust storm,80,,,
746,Below approach minima,80,,,
747,Below VFR minima,80,,,
748,(general),81,,,
749,Bright light,81,,,
750,Low light,81,,,
751,Dark,81,,,
752,Flat light,81,,,
753,Glare,81,,,
754,(general),82,,,
755,(general),83,,,
756,Positioning/available space,83,,,
757,Access to equipment/controls,83,,,
758,Visibility,83,,,
759,Air quality/dust/smoke,83,,,
760,Temperature/humidity,83,,,
761,Workspace lighting,83,,,
762,Noise,83,,,
763,Vibration,83,,,
764,Controls and displays,83,,,
765,Warnings/alarms,83,,,
766,(general),84,,,
767,Time/schedule pressure,84,,,
768,Financial pressure,84,,,
769,Social pressure,84,,,
770,Regulatory pressure,84,,,
771,Equipment/operational,84,,,
772,Personal pressure,84,,,
773,Other pressure/demand,84,,,
774,(general),85,,,
775,(general),86,,,
776,(general),87,,,
777,Equipment design,87,,,
778,Task design,87,,,
779,Design of document/info,87,,,
780,Policy/procedure development,87,,,
781,Interface design,87,,,
782,(general),88,,,
783,Personnel selection/training,88,,,
784,Equip certification/testing,88,,,
785,Document/info verification,88,,,
786,(general),89,,,
787,Equipment manufacture,89,,,
788,Tool manufacture,89,,,
789,Document/info production,89,,,
790,(general),90,,,
791,(general),91,,,
792,Availability of policy/proc,91,,,
793,Adequacy of policy/proc,91,,,
794,(general),92,,,
795,Availability of personnel,92,,,
796,Adequacy of personnel,92,,,
797,Availability of equipment,92,,,
798,Adequacy of equipment,92,,,
799,Availability of facilities,92,,,
800,Adequacy of facilities,92,,,
801,Availability of documents/info,92,,,
802,Adequacy of documents/info,92,,,
803,(general),93,,,
804,Scheduling of personnel,93,,,
805,Crew/personnel pairing,93,,,
